Pengusul,Status Pengusul*,Penulis 1*,Kelompok Keahlian,Penulis 2,Kelompok Keahlian.1,Penulis 3,Kelompok Keahlian.2,Penulis 4,Kelompok Keahlian.3,Penulis Tambahan,Judul Makalah / Paper*,Jenis Publikasi*,Nama Konferensi / Jurnal*,Tanggal Konferensi/Perkiraan Terbit Jurnal(dd/mm/yyyy)*,Alamat Website*,Tempat*,Abstrak*,Research Fields,Journals
SONI_FAJAR,Penulis_2,ABDUL_AZIZ,Enterprise_System_Development_ESD,SONI_FAJAR_SURYA_GUMILANG,Enterprise_System_Development_ESD,,,,,,Rancangan_Fitur_Aplikasi_Pengelolaan_Administrasi_dan_Bisnis_Bank_Sampah_di_Indonesia,Nasional_Prosiding,Konferensi_Nasional_Sistem_Informasi_KNSI_2018,43315,http://knsi2018.info/,"STMIK_Atma_Luhur,_Pangkal_Pig","Bank_sampah_adalah_sebuah_lembaga_yang_bergerak_di_bidang_bisnis_pengelolaan_sampah._Aktivitas_utama_bank_sampah_meliputi_proses_pengelolaan_sampah_terpilah,_transaksi_dan_administrasi_tabungan_nasabah._Untuk_dapat_menabung_sampah,_ada_beberapa_metode_menabung_yang_dapat_dipilih_oleh_nasabah,_diantaranya,_setor_sampah_langsung,_permintaan_jemput_sampah_dan_penjemputan_sampah_terjadwal._Saat_ini_semua_proses_administrasi_dan_bisnis_bank_sampah_masih_dilakukan_secara_manual_atau_konvensional_yang_menyebabkan_beberapa_masalah_seperti_pendataan_administrasi_tidak_tercatat_dengan_rapih,_terjadi_duplikasi_atau_kehilangan_data,_nasabah_tidak_bisa_mengakses_informasi_perubahan_jadwal_penjemputan_sampah_serta_informasi_riwayat_transaksi._Untuk_mengatasi_masalah_itu,_dengan_melihat_potensi_teknologi_informasi,_maka_diperlukan_sebuah_rancangan_fitur_aplikasi_yang_dapat_digunakan_sebagai_acuan_untuk_membangun_aplikasi_pengelolaan_administrasi_dan_bisnis_bank_sampah._Hasil_dari_penelitian_ini_adalah_rancangan_fitur_aplikasi_pengelolaan_administrasi_dan_bisnis_bank_sampah_berupa_rancangan_fungsionalitas_fitur,_rancangan_infrastruktur_aplikasi_dan_rancangan_tampilan_user_interface_aplikasi_yang_dihasilkan_dengan_menggunakan_pendekatan_Object_Oriented_Method.","[""RF Wireless Power Transfer"",""RF Circuit Design"",""Internet of Things""]","[""Wireless-powered sensor networks: How to realize"",""Distributed wireless power transfer system for Internet of Things devices"",""Simultaneous wireless information and power transfer (SWIPT) for Internet of Things: Novel receiver design and experimental validation"",""Theory and experiment for wireless-powered sensor networks: How to keep sensors alive"",""Toward realization of long-range wireless-powered sensor networks"",""Battery-less location tracking for Internet of Things: Simultaneous wireless power transfer and positioning"",""Experiment, modeling, and analysis of wireless-powered sensor network for energy neutral power management"",""RF energy transfer testbed based on off-the-shelf components for IoT application"",""Coverage probability of distributed wireless power transfer system"",""Simultaneously charging multiple sensor nodes in multi-antenna wireless-powered sensor networks"",""Experiment and modeling of wireless-powered sensor network"",""RFID Tag-equipped Drone for Antenna Array-based Localization: A Step-by-Step MATLAB Simulation Tutorial"",""Drone-Based Sensor Information Gathering System With Beam-Rotation Forward-Scattering Communications and Wireless Power Transfer"",""가시광 통신 및 백스캐터 통신을 이용한 실내 환경에서의 위치 추적 시스템 및 방법"",""무선 기반의 정보 송수신 방법 및 통신 시스템"",""Research for Long Range Wireless-Powered Sensor Network"",""Implementation of RF Energy Transfer System with Massive Antenna Array"",""Implementation and Experiment on Multi-Antenna Wireless-Powered Sensor Networks"",""The Journal of Korean Institute of Communications and Information Sciences"",""SISTEM PELACAKAN VIDEO OTOMATIS, BERBASIS DETEKSI WAJAH PADA PERANGKAT ANDROID""]"
ERWIN_BUDI,Penulis_2,ACHMAD_FAUZI,Modeling_and_Computational_Experiment_MCE,ERWIN_BUDI_SETIAWAN,Modeling_and_Computational_Experiment_MCE,Z_K_ABDURAHMAN_BAIZAL,Modeling_and_Computational_Experiment_MCE,,,,Hoax_News_Detection_on_Twitter_using_Term_Frequency_Inverse_Document_Frequency_TF-IDF_and_Support_Vector_Machine_SVM_Method,Internasional_Prosiding_Terindeks,International_Conference_on_Data_and_Information_Science,15/11/2018,http://commdis.telkomuniversity.ac.id/icodis/2018/,"Bandung,_Jawa_Barat,_Indonesia","Twitter_is_one_of_the_social_media_that_is_currently_popularly_used_around_the_world._It's_just_that_twitter_has_some_problems_that_adversely_affect_its_users._Hoax_is_one_of_the_negative_things_that_often_occur_in_social_media,_news_in_the_hoax_is_still_doubted_the_truth_or_the_fact._In_this_research,_the_authors_built_a_system_to_detect_hoax_news_on_twitter._The_use_of_the_Term_Frequency_Inverse_Document_Frequency_TF-IDF_weighting_system_in_the_system_gives_a_weighted_value_to_a_tweet_taken_from_the_occurrence_of_a_hoax_news_sent_by_someone_on_Twitter._Data_classification_uses_the_Support_Vector_Machine_SVM_method_of_the_system_to_predict_the_possibility_of_a_twitter_account_user_spreading_a_hoax_news_based_on_the_user's_behavior._Testing_data_is_done_based_on_the_contents_of_content_tweets._Datasets_are_arranged_based_on_attributes_used_such_as_the_number_of_retweets,_URLs,_number_of_hashtags,_provocations,_hostility,_anxieties,_and_unbalanced_news._Processed_data_is_divided_into_training_data_and_testing_data._The_result_of_data_using_all_features_get_the_highest_accuracy_is_78,33_.",[],[]
MAMAN_ABDUROHMAN,Penulis_2,ACHMAD_KHALIF_HAKIM,Telematics_Tele,MAMAN_ABDUROHMAN,Telematics_Tele,FAZMAH_ARIF_YULIANTO,Telematics_Tele,,,,Improving_DDoS_Detection_Accuracy_Using_Six-Sigma_in_SDN_Environment,Internasional_Jurnal_Terindeks_Tier_2,"International_Journal_on_Advanced_Science,_Engineering_and_Information_Technology",18/04/2018,http://www.insightsociety.org/ojaseit/index.php/ijaseit/article/view/5036,Indonesia,"???_This_paper_proposes_the_new_method_for_improving_the_accuracy_of_detection_of_DDoS_attacks_on_the_SDN_by_utilizing_control_plane_using_Six-Sigma_method._Software-Defined_Networking_SDN_is_a_centralized_network_control_system._This_system_offers_flexibility_on_receiving,_processing_and_forwarding_packets_between_sub_networks._The_centralized_system_of_SDN,_which_separates_control_plane_and_data_plan,_has_an_immense_number_of_advantages,_but_it_also_has_the_risk_of_becoming_a_single_point_of_network_failure._Distributed_Denial_of_Service_DDoS_attack_is_the_major_issues_faced_in_the_security_aspect_of_SDN._This_attack_can_make_network_resources_unreachable_by_the_true_packets._The_widely_known_method_has_been_implemented_on_SDN_for_avoiding_DDoS_attack_is_Three-Sigma_method._Three-Sigma_method_uses_threshold_value_to_determine_the_existence_of_DDoS_attack._However,_this_method_has_drawbacks_in_terms_of_accuracy_in_determining_the_DDoS_attack._Main_contribution_of_this_paper_is_utilizing_central_control_plane_of_SDN_for_improving_accuracy_on_detecting_DDoS_attack._Several_experiments_have_been_performed_for_proving_the_concept._The_result_shows_the_new_method_can_improve_the_accuracy_of_detection_of_DDoS_attack,_either_in_constant_or_fluctuating_traffic,_by_reducing_the_false_positive._The_performance_is_about_50_more_accurate_than_the_previous_method",[],[]
MOCH._ARIF,Penulis_2,ADE_SUTEDI,System_Information_and_Data_Engineering_SIDE,MOCH._ARIF_BIJAKSANA,System_Information_and_Data_Engineering_SIDE,ADE_ROMADHONY,,,,,Answer_Selection_Using_Word_Alignment_Based_on_Part_of_Speech_Tagging_in_Community_Question_Answering,Internasional_Prosiding_Terindeks,The_International_Conference_on_Data_and_Information_Science_ICoDIS,15/11/2018,www.icodis.org,"Telkom_University,_Bandung,_Indonesia","Community_Question-Answering_CQA_is_one_of_the_online_forums_where_user_allowed_to_ask_the_question_and_the_other_users_can_reply_related_to_the_question_problems._Due_to_CQA_has_no_restrictions_in_conveying_questions_or_comments,_there_are_comments_that_did_not_appropriate_with_the_problems._To_solve_these_problems,_combining_lexical_and_semantic_features_has_been_developed_with_result_conclude_that_the_approach_more_adequate_for_similarity_task_rather_than_question_answering._According_to_the_previous_research,_there_are_several_problems_that_can_be_enhanced._First,_vector_representation_counts_exactly_matched_words,_it_does_not_effective_to_cover_other_words_that_have_relatedness_between_two_pairing_words._Second,_noun_overlap_for_similarity_measure_in_pairing_words_can???t_define_that_the_two_words_are_similar._So,_it_must_be_defined_that_the_pairing_POS_tag_is_the_same_meaning_or_relatedness._In_this_study,_unsupervised_lexical_and_semantic_similarity_method_employed_with_a_different_approach_from_the_previous_method_in_verbatim_and_contextual_similarities._The_data_was_taken_from_SemEval_2017_competition_which_focuses_on_Question-Answer_Similarity_task._The_experiment_result_for_precision_Mean_Average_Precision_score_shows_the_significant_improvement_from_0.6742_to_0.6845,_1.03_higher_than_previous_research_in_CQA._This_improvement_comes_from_lexical_similarity,_which_is_not_just_from_noun_pattern_but_also_taken_from_verb_pattern._Furthermore,_semantic_similarity_has_an_important_role_in_determining_which_words_that_have_the_same_pattern_and_meaning_to_define_relevancy_between_them.",[],[]
DEVI_PRATAMI,Penulis_2,ADELIA_WIDININGRUM,Engineering_Management,DEVI_PRATAMI,Engineering_Management,IMAM_HARYONO,Engineering_Management,,,,Project_Performance_Analysis_Using_Earned_Value_Management_Method_in_Telecommunication_Project,Internasional_Prosiding_Terindeks,ICADEIS/International_Journal_of_Engineering_and_Technology,43618,http://www.icadeis.com/,Yogyakarta,"One_of_telecommunication_project_in_Indonesia_is_shutdowning_the_obsolete_telecommunication_infrastructure_such_as_Sentral_Telephone_Otomate_in_Tanjungsari_Bandung._This_project_is_a_modernization_project_of_fiber_optic_network_for_334_locations_in_Tanjungsari_Sub-district._To_compare_actual_performance_of_the_scope,_schedule_and_cost_with_planning_for_making_right_decisions_in_project's_status_and_performance,_required_controlling_by_using_Earned_Value_Management_method_since_it_can_integrate_these_three_things_at_the_same_time._Status_and_index_of_project_performance_on_the_22nd_day_indicate_that_project_was_behind_schedule_that_caused_loss_revenue_of_Rp_2,600,000.00_with_98_of_delays_from_planning_and_project_get_94_of_overruns_budget_from_issued_value_with_amount_of_Rp_7,410,000.00._In_addition,_forecasting_is_done_as_a_corrective_action_of_past_project_status_and_performance._It_is_estimated_that_the_project_duration_to_complete_work_is_31_days_with_total_cost_for_the_remaining_work_EAC_of_Rp._140,170,00.00_from_previous_project_performance._It_is_also_estimated_that_cost_for_remaining_work_until_the_project_is_completed_or_ETC_is_Rp._7,770,000.00_with_size_of_the_project's_forecasting_status_is_a_deficit_from_VAC_value_that_calculated_about_Rp_7,410,000.00_and_the_project_will_complete_based_on_the_TCPI_forecasting_calculation.",[],[]
AGUS_ACHMAD,Penulis_2,ADI_MARKUS_RIYANTO,Engineering_Management,AGUS_ACHMAD_SUHENDRA,Engineering_Management,,,,,,Literature_Review_of_Three-Dimensional_Customer_Perceived_Quality_Factors_Analysis_in_Increasing_Customer_Satisfaction_and_Behavioral_Intentions,Internasional_Prosiding_Terindeks,2018_International_Conference_on_Information_Management_and_Management_Sciences_IMMS_2018,25/08/2018,http://www.imms.net/,"Chengdu,_China","The_increasing_number_of_brand_names_and_outlets_of_Fast_Casual_Restaurant_now_requires_companies_in_the_fast-casual_restaurant_sector_to_implement_the_right_strategy_to_remain_existing_and_dominate_the_existing_market._One_of_them_is_by_knowing_three-dimensional_Customer_Perceived_Quality_factors_from_its_restaurant_brand_in_its_main_effort_to_give_maximum_customer_satisfaction_so_that_new_and_old_customers_still_want_to_come_and_buy_again_at_restaurant._Three-dimensional_Customer_Perceived_Quality_factors,_such_as_Quality_of_Physical_Environment,_Food_Quality_and_Service_Quality_are_inseparable_entities,_complementary_to_one_another._The_result_of_this_Systematic_Literature_Review_is_to_map_out_possible_possibilities_for_further_research_on_three-dimensional_Customer_Perceived_Value_Factors_for_Customer_Satisfaction_&_Behavioral_Intentions_especially_in_Fast_Casual_Restaurant.",[],[]
FRANSISKUS,Penulis_2,ADI_RIYANTO,Process_and_Work_System_Optimization,FRANSISKUS_TATAS_DWI_ATMAJI,Electronic_based_Process_and_Work_System_Optimization_ePromize,ENDANG_BUDIASIH,Process_and_Work_System_Optimization,,,,Design_of_Sparepart_Proposal_Management_and_Maintece_Policy_On_ILA-0005_Machine_Using_Reliability_Centered_Spares_RCS_Method_In_PT.XYZ,Internasional_Prosiding_Terindeks,"2018_International_Conference_on_Industrial,_Enterprise,_and_System_Engineering_ICoIESE-2017.",21/11/2018,https://icoiese.org/,Eastparc_Hotel-_Yogyakarta,"The_ILA-0005_machine_is_a_machine_that_is_often_used_in_TR_Crank_shaft_Line_process_and_has_the_biggest_maintece_demand_in_PT.XYZ._The_large_maintece_demand_on_the_ILA-0005_machine_causes_a_quite_big_downtime._In_determining_the_critical_subsystems_on_the_ILA0005_machine,_the_selected_risk_matrix_which_were_the_Detector,_Mechanic,_Spindle,_Jig,_and_Fixture_were_used._The_methods_used_in_this_research_are_the_Reliability_Centered_Spares_RCS_and_Reliability_Centered_Maintece_RCM._The_Reliability_Centered_Spares_RCS_can_define_the_management_policies_of_the_ILA-0005_machine_subsystem._A_spare_part_management_policy_is_very_important_because_it_can_cause_a_less_optimal_maintece_activity._From_the_result_of_the_research_using_the_Reliability_Centered_Spares_RCS_method,_the_spare_part_requirements_were_obtained,_which_were_27_pieces_for_the_detector,_10_pieces_for_the_mechanic,_24_pieces_for_the_spindle,_14_pieces_for_the_jig_counted_and_22_pieces_for_the_fixture._From_the_measurement_results_using_the_Reliability_Centered_Maintece_RCM_method_the_total_cost_of_existing_maintece_within_four_years_for_the_ILA0005_machine_is_Rp_56,378,983,200_and_the_total_maintece_cost_of_the_proposal_based_on_the_optimal_time_interval_is_Rp_26,997,478,665,_where_the_cost_of_the_proposal_is_smaller_than_the_cost_of_existing.",[],[]
ARI_YANUAR,Penulis_2,AFIFA_SUCIHANA_ISMADHIA,,ARI_YANUAR_RIDWAN,Electronic_based_Process_and_Work_System_Optimization_ePromize,ROSAD_MA,Process_and_Work_System_Optimization,,,,PERANCANGAN_MODEL_PENGUKURAN_KINERJA_GREEN_SALES_AND_DISTRIBUTION_BERBASIS_MODEL_SCOR_PADA_INDUSTRI_PENYAMAKAN_KULIT,Nasional_Jurnal_Terakreditasi,JRSI_Jurnal_Rekayasa_Sistem_dan_Industri,43112,http://jrsi.sie.telkomuniversity.ac.id/index.php/JRSI,Bandung,"Sistem_pengukuran_kinerja_rantai_suplai_hijau_diperlukan_untuk_mengelola_risiko_lingkungan_yang_sering_kali_menjadi_permasalahan_major_sebuah_industri._Tuntutan_dari_pemerintah_untuk_menerapkan_sistem_green_supply_chain_tentu_menjadi_sebuah_dorongan_terhadap_industri-industri_besar_di_Indonesia._Begitu_juga_untuk_PT._Elco_lndonesia_Sejahtera,_untuk_mewujudkan_sebuah_industri_yang_menerapkan_prespektif_green_di_industrinya,_tentu_PT._Elco_Indonesia_Sejahtera_memerlukan_sebuah_model_perancangan_sistem_pengukuran_kinerja_perusahaannya_sendiri._Karena_itu_tujuan_dari_penelitian_ini_adalah_untuk_merancang_model_pengukuran_kinerja_dari_Green_Sales_and_Distribution_pada_rantai_pasokan_industri_penyamakan_kulit._Model_yang_digunakan_sebagai_alat_bantu_untuk_merancang_sistem_pengukuran_kinerja_dari_rantai_pasok_tersebut_adalah_model_Green_SCOR._Model_konseptual_dirancang_dengan_melibatkan_kegiatan_seperti_identifikasi_stakeholder,_analisis_green_requirements_stakeholder,_identifikasi_green_objectives,_dan_pembobotan_KPI._Penelitian_ini_menggunakan_metric_SCOR_untuk_mengidentifikasi_KPI._Bobot_KPI_ditentukan_menggunakan_metode_AHP._Hasil_dari_penelitian_ini_adalah_enam_green_objectives_dan_juga_lima_belas_Key_Performance_indicator_yang_dibawahinya._Green_objectives_dan_Key_performance_indicator_dapat_membantu_perusahaan_untuk_meningkatkan_kinerja_Green_Sales_and_Distribution_pada_perusahaan._Penelitian_ini_akan_menghasilkan_enam_green_objectives_dan_juga_sembilan_belas_Key_Performance_Indicator_yang_dibawahinya._Green_objectives_dan_Key_Performance_Indicator_dapat_membantu_perusahaan_untuk_meningkatkan_kinerja_Green_Sales_and_Distribution_di_perusahaan.",[],[]
ARI_YANUAR,Penulis_2,AFIFA_SUCIHANA_ISMADHIA,Process_and_Work_System_Optimization,ARI_YANUAR_RIDWAN,Electronic_based_Process_and_Work_System_Optimization_ePromize,ROSAD_MA,Engineering_Management,,,,A_Development_of_Green_Sales_and_Distribution_System_using_SCOR_Model_based_on_Enterprise_Resource_Planning_in_the_Leather_Tanning_Industry,Internasional_Prosiding_Tidak_Terindeks,The_2nd_International_Conference_on_Applied_Sciences_Mathematics_and_Informatics,43351,http://icasmi.fmipa.unila.ac.id/2018/,Lampung,"A_green_supply_chain_performance_measurement_system_is_needed_to_manage_the_environmental_risks_that_are_often_being_the_major_issues_of_industry._Claim_from_the_government_to_implement_the_green_supply_chain_system_will_certainly_be_a_boost_to_major_industries_in_Indonesia._To_create_an_industry_that_applies_green_perspective_in_the_industry,_it_is_requires_a_model_of_its_own_company_performance_measurement_system_design._And_it_would_be_better_if_the_design_model_is_equipped_with_an_ERP-based_system_that_can_continue_to_monitor_and_know_the_extent_to_which_the_company's_performance_easily._Therefore,_this_study_aims_to_develop_a_Green_Sales_and_Distribution_system_that_is_integrated_with_other_parts_of_the_company_as_well_as_green_procurement,_green_manufacture_based_on_ERP_in_the_supply_chain_of_leather_tanning_industry._The_model_used_as_a_tool_for_designing_performance_measurement_systems_from_the_supply_chain_is_Green_SCOR_model._The_conceptual_model_is_obtained_from_previous_research_that_is_6_green_objectives_and_19_key_performance_indicators_KPI._Green_objectives_and_Key_performance_can_help_companies_to_improve_the_performance_of_Green_Sales_and_Distribution_in_the_company._After_all_of_the_KPI_are_obtained,_it_will_be_an_indicator_in_the_form_of_data_input_on_the_ERP_system_through_odoo.",[],[]
AMELIA_KURNIAWATI,Penulis_2,AFRIN_FAUZYA_RIZANA,Process_and_Work_System_Optimization,AMELIA_KURNIAWATI,Electronic_based_Process_and_Work_System_Optimization_ePromize,RAYINDA_PRAMUDITYA_SOESANTO,Process_and_Work_System_Optimization,Fadillah_Ramadhan,,,The_Role_of_Individual_Characteristic_in_Encouraging_User_Performance_and_Continuance_Usage_Decision_of_Enterprise_System,Internasional_Prosiding_Terindeks,International_Conference_on_Instrumentation_Management_Automation_Control_Systems_and_Informatics,43320,http://imacsi.org/,Bandung,"Most_of_the_organizations_invested_in_enterprise_system_did_not_obtain_promising_benefits._It_was_occurred_due_to_the_underutilization_of_the_system_by_the_user._On_the_other_hand,_only_a_few_studies_put_into_concern_the_success_of_enterprise_system_from_the_user_perspective._Meanwhile,_a_user_plays_important_role_in_determining_the_continuity_of_enterprise_system_usage._Therefore,_this_study_was_conducted_to_identify_the_factors_that_influence_continuance_usage_decision_of_enterprise_system_focusing_on_identifying_the_role_of_individual_characteristics_that_affect_user???s_performance_from_their_current_usage_and_their_decision_to_continue_using_the_system_or_even_explore_or_extend_their_level_of_use._Data_collected_from_146_enterprise_system_users._Structural_Equation_Modeling_SEM_was_employed_to_test_the_hypotheses._This_study_found_that_intrinsic_motivation_and_user???s_absorptive_capacity_for_applying_significantly_influence_decision-making_improvement,_task_innovation,_and_productivity_improvement_in_a_positive_direction._Finally,_the_ability_of_an_enterprise_system_to_improve_user???s_performance_in_the_term_of_decision-making_improvement,_task_innovation,_and_productivity_improvement_significantly_influence_user???s_continuance_usage_decision.","[""management information system"",""decision analysis"",""operation research""]","[""E-learning success determinants in higher education: A systematic literature review from users’ perspective"",""Mechanisms for effective tacit knowledge transfer in university laboratory: An agent-based approach"",""Enhancing Innovation through Knowledge Management: A Systematic Literature Review on Empirical Findings"",""A record-to-record travel algorithm for multi-product and multi-period inventory routing problem"",""The impact of open innovation preparation on organizational performance: a systematic literature review"",""Design of Reporting, Evaluation, and Monitoring Application for Student Organization in University"",""Innovation capability and open innovation for small and medium enterprises (SMEs) performance: Response in dealing with the COVID-19 pandemic"",""Perancangan Sistem Informasi Manajemen Pengelolaan Persediaan Barang Dan Keuangan Pada Penjualan Menggunakan Metode Scrum Pada Fashion Retail Magna Komunal"",""Threshold based algorithms for the multi-product multi-period inventory routing problem"",""Design of decision support system application for determining scholarship grantee using Analytical Hierarchy Process and Factor Rating"",""Value chain analysis for determining innovation priority in batik small medium industry"",""Enterprise Resource Planning system continuance usage intention at an individual level: An approach from value perspective"",""The Maturity Assessment of e-Government in Bandung District Area"",""Success Factor for Elevating Indonesian Tourism Area Potential"",""Pengukuran Tingkat Kesiapan Penerapan E-learning Pada Proses Belajar Mengajar Program Studi S1 Teknik Industri Universitas Telkom Bandung"",""Profile matching for students specialization in industrial engineering major"",""An application of agent-based modeling and simulation in tacit knowledge transfer effectiveness and individual performance through the consideration of feedback mechanism"",""The Role of Individual Characteristic in Encouraging User Performance and Continuance Usage Decision of Enterprise System"",""Perancangan Sistem Informasi Aktivitas Penjualan Dan Monitoring Persediaan Barang Berbasis Web Pada Toko Kiss Secondbrand Menggunakan Metode Rapid Application Development"",""Perancangan Sistem Informasi Untuk Pengelolaan Data Warga Dalam Tingkat RT Dengan Metode Scrum"",""Intelligent decision support systems for determining tour bus route with time windows: A metaheuristic approach"",""Multi-Agent simulation in the inter-organizational trust model and knowledge sharing in the automotive industry"",""Kesuksesan Knowledge Transfer Di Laboratorium Perguruan Tinggi Melalui Pengelompokkan Rekan Kerja Menggunakan Agent-Based Modeling And Simulation"",""Open Innovation in Organization Through Stakeholder Capability During Pandemic (COVID-19): Indonesian SMEs Perspective"",""Decision Support System Design for Wedding Organizer Tradeshow Selection using AHP and TOPSIS"",""Agent-based modelling and simulation for ship unloading processes: determining the number of trucks and container cranes"",""Green Production Implementation Through Perspective of Knowledge Sharing and Open Innovation: Case Study at Indonesian Handmade Batik Industries"",""Simplification of wastes for a warehouse using BooLean logic: A conceptual paper"",""Framework for community of practice for Blood Center"",""Model Penilaian dan Pemilihan Trade Show Bagi Industri Kreatif di Sektor Mode"",""Exploring the role of organizational creativity and open innovation in enhancing SMEs performance"",""Perancangan Perbaikan Sistem Existing Pada Aplikasi “Enjoy Rembang” Sebagai Media Promosi Pariwisata Kabupaten Rembang Dengan Metode Design Thinking"",""Design of E-Learning Content to Support Special Order Footwear Production"",""PERANCANGAN SISTEM INFORMASI MANAJEMEN DALAM PROSES MONITORING PERKEMBANGAN PRESTASI SANTRI YAYASAN ISLAM RAUDHATUL ILMI PADA SETIAP CABANG MENGGUNAKAN METODE RAPID APPLICATION …"",""Natural Tourism Potential Assessment Model in Rembang Regency"",""Decision Support System for Determining Flood Evacuation Locations in Kabupaten Bandung Using the Simple Additive Weighting (SAW) Method"",""Perancangan Sistem Informasi Penjualan Pada Butik Sara Dengan Metode Scrum Designing A Sales Information System At Sara Boutique With Scrum Method"",""Perancangan Sistem Inventory Dengan Barcode Scanner Pada Toko Berkah Sejahtera Menggunakan Metode Rapid Application Development"",""Perancangan Sistem Penilaian Kinerja Karyawan Menggunakan Metode Simple Additive Weighting (saw) Dan Rapid Application Development (rad) Pada Teman Sejati Coffee"",""Perancangan Sistem Informasi Manajemen Bidang Akademik Di Sdn Ngimbang Dengan Metode Rapid Application Development"",""Perancangan E-archive Rekam Medis Puskesmas Kota Manna Menggunakan Metode Seci"",""Perancangan Sistem Informasi Manajemen Kependudukan Rw Untuk Monitoring Kesehatan Masyarakat Dengan Metode Scrum"",""Perancangan Sistem Penyimpanan Knowledge Berbasis Web Di Umkm Systone Dengan Metode Waterfall"",""Mapping of Telkom University Roadshow Location Using Geographic Information System"",""Penerapan Agent-Based Simulation dalam Memprediksi Penggunaan Berkelanjutan Sistem ERP"",""Competitive Advantage Analysis of Small Medium Industries in Indonesia: An Approach of Management Technology and Strategic Management"",""Mapping of Communal Waste Water Treatment Plant User Group in Citarum River Areas Using Geographic Information System"",""Information System Planning for Emerging Start-up Company: A Case from Software House"",""Rancangan Program Pencapaian Transkrip Aktivitas Kemahasiswaan (tak) Menggunakan Metode 5c-4c Pada Fakultas Rekayasa Industri Di Universitas Telkom"",""Knowledge Sharing Antar Pekerja di Industri Kecil Menengah Konveksi Berdasarkan Faktor Individu dan Organisasi"",""ESTIMASI BIAYA PEMELIHARAAN JALAN REL KERETA API LINTAS PURWAKARTA-PADALARANG MENGGUNAKAN METODE LIFE CYCLE COST (LCC) DENGAN PENDEKATAN PARAMETER RELIABILITY AVAILABILITY DAN …"",""PERANCANGAN KONTEN E-LEARNING PADA KEGIATAN PEMBUATAN DAN PEMASANGAN KUBAH MASJID DI PERUSAHAAN TIGA BERLIAN MENGGUNAKAN METODE SECI DAN ADDIE"",""CONFERENCE PROCEEDING""]"
