emotions,sentiment,clean_text
empty,Negative,  know listenin bad habit earlier started freakin 
sadness,Neutral,layin n bed headache ughhhhwaitin call
sadness,Neutral,funeral ceremonygloomy friday
enthusiasm,Positive,wants hang friends soon
neutral,Neutral,  want trade houston tickets will
worry,Neutral,repinging   prom bc bf like friends
sadness,Positive,sleep im not thinking old friend want hes married now damn amp wants 2 scandalous
worry,Negative,hmmm 
sadness,Positive,  charlene love miss
sadness,Negative,  im sorry friday
neutral,Neutral,cant fall asleep
worry,Neutral,choked retainers
sadness,Negative,ugh beat stupid song rude
sadness,Negative,  u watch hills london u realise tourture weeks weeks late watch itonlinelol
surprise,Neutral,got news
sadness,Neutral,storm electricity gone
love,Neutral,  agreed
sadness,Negative,sleepy late fail again
worry,Positive,  lady gaga tweeted impressed video leaking know
sadness,Neutral,convinced wanted you signals offdamn think lost friend
worry,Negative,  oh bad hope gets better ive sleep issues lately
fun,Negative,wondering im awake 7amwriting new songplotting evil secret plots muahahahaoh damn itnot secret anymore
neutral,Neutral,topic maps talks balisage markup conference 2009 program online  via   topicmaps
worry,Neutral,ate know is telling things food
sadness,Negative,tired think im definitely going ear infection going bed quotearlyquot once
worry,Positive,way home n 2 deal w underage girls drinking gin da bus talking bout keggersdamn feel old
sadness,Negative,  im sorry people rude you isaac manners know better lewd
worry,Negative,damm servers need hit 80 koxpers pass
sadness,Negative,fudge bsd paper tired ugh hate school time sleep
worry,Negative,hate cancer hate hate hate it
hate,Negative,annoying starts typing computer middle night
neutral,Neutral,  cant sleep
neutral,Neutral,missed bly bus
neutral,Positive,feels strong contractions wants out 
neutral,Neutral,socal stoked maybe not tomorrow
neutral,Neutral,screw   3 weeks
sadness,Negative,  yeah s feel funny cause slept woke mum cause singing impressed s you
worry,Positive,need skott right
neutral,Neutral,work afternoon
neutral,Neutral,  aw unfollow you cry
happiness,Positive,mmm better day far early day uds
fun,Positive,  lt3 gonna twitter  cause amazing lol come canada perform
worry,Negative,picked blackberry middle street crushed
worry,Negative,feeling packing hitting sfo time year think im missing something
empty,Negative,  middle school elem high schools remain open need credits graduate cali broken
worry,Positive,bed time hope school tomorrow feel right
worry,Neutral,  ahh  well hoping learn stuff way  work separate things
sadness,Neutral,im problem photo twitter amfcant face
neutral,Neutral,  oh noooo blow tire reaaaally going send batman smoke
neutral,Neutral,wnna bath
neutral,Positive,chocolate milk better straw lack said straw
worry,Negative,tired
empty,Neutral,  hey yu lil fucker textd yu
neutral,Neutral,  time diff ive wrapped day day stuff havent tweeting talk soonmust sleepup 6hrs
neutral,Positive,  way damn sucks b ok
worry,Negative,sucks able days work money trip sad
enthusiasm,Positive,bedsorta today good sara strep thought angelina to shared water b4 told me prob
neutral,Positive,  recession hotel restructuring accounts done adds bit pressure short term well cope
neutral,Neutral,  got dibs sulu
sadness,Negative,  aww onward upwards now yay sad leave bet
worry,Negative,  haha poor aby gets sore
sadness,Positive,diesel yaris 70mpg sad available us thatd awesome
sadness,Positive,want buy great album unfortunately dont hav enuff funds quotlong time noisyquot
sadness,Negative,  honestypain blech
sadness,Positive,ok  passengers  alive  theyre dead  know til end  cry 
neutral,Negative,home
worry,Positive,  ia much happy cooks choices singles
sadness,Positive,    fell asleep beach sunscreen lol
worry,Negative,think son flu cause def cleaned stanky puke mess poor pumkpin
happiness,Positive,great oin amp cynthia happy dinner great cute little place bad oin got sick afterwards
neutral,Neutral,cant   bday nudges
worry,Negative,and woman transfer impressions sexualmaternal threatening man  weak him
neutral,Positive,brothers bloom opening weekend el paso ill buy brick enjoy watch brothers bloom
neutral,Neutral,says miss plurking 
worry,Negative,bitten blood cat way rabies bacterin 7 shots 2 months wash cats home again hate water
neutral,Neutral,miss voobys
neutral,Neutral,  elp
happiness,Positive,  dude favorite sandwich place ever ummm pictures
worry,Negative,sad shin ae got marriedand alex
worry,Positive,  sure tweet back news abuzz tr knights leaving quotconfirmedquot today muy triste
